timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
1777227284569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.050995342,0.008095933,9.500282e-11,0.012162545,-0.0007659162,-13.061328,0.001107875,-0.0028762142,0.002641856,0.00059706613,0.000985805,0.01795371,0.0001225789,6.565224e-05,3.0437861e-05,0.0,0.0
1777227285569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.044037625,0.007977084,7.682448e-11,0.01982399,0.0041181957,-9.716533,-0.0021731395,-0.00089482235,0.0025992454,0.0017533469,0.0010048167,0.0017334486,7.305011e-05,6.0539067e-05,2.580036e-05,0.0,0.0
1777227286569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041798662,0.00851171,1.0968326e-10,0.021164743,-0.013024286,-9.790561,-0.002066613,-0.0004048007,-0.00078829564,0.0012895926,0.0008512702,0.0021460084,4.80233e-05,0.0001424462,4.806585e-05,0.0,0.0
1777227287569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039027546,0.008351291,8.420752e-11,-0.0072783735,-0.004117872,-8.887947,-0.0034088464,-0.001171791,0.001981392,0.0009699267,0.0007650197,0.0023041023,4.6668174e-05,8.82298e-05,3.3748605e-05,0.0,0.0
1777227288569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040271826,0.008447805,1.6949453e-10,0.005937619,0.028347503,-8.843511,-0.002961435,0.006476808,0.0014487598,0.0014431392,0.0015241352,0.00078652066,9.7711905e-05,0.00017839063,5.391474e-05,0.0,0.0
1777227289569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0375528,0.008218389,7.532178e-11,0.010726023,-0.00028714383,-9.239033,-0.0015339807,-0.00019174776,0.004623248,0.0024763686,0.0010290832,0.0016240897,5.958396e-05,5.8225993e-05,2.6306287e-05,0.0,0.0
1777227290569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04123704,0.008549434,1.3049224e-10,-0.00067037717,-0.009002031,-9.525571,8.5221174e-05,-0.008479505,0.0025566344,0.0014332989,0.0014585014,0.000723694,6.14365e-05,0.00014265048,5.9694597e-05,0.0,0.0
1777227291569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038233247,0.008933033,1.16161816e-10,-0.009672575,0.007087006,-9.647484,0.00017044242,-0.0011717908,-0.0008948223,0.0012474608,0.0012890194,0.0013490332,6.909727e-05,9.870295e-05,5.8884165e-05,0.0,0.0
1777227292569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.040357567,0.009598188,4.74811e-09,0.025187002,0.0021070726,-10.028544,-0.0068816086,0.20951621,0.3553509,0.0015195685,0.001246429,0.0012255986,5.328588e-05,0.0010384468,9.78206e-05,0.0,0.0
1777227293569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04143614,0.008679462,6.7405685e-09,0.14020444,-0.11693264,-9.993686,-0.099282645,-0.1908741,0.6959799,0.002365049,0.0006743362,0.0015774596,0.0005034678,0.00064973446,0.00027127875,0.0,0.0
1777227294569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03965881,0.009080709,8.607435e-09,-0.06339846,-0.2591482,-9.930861,-0.103841975,-0.01776863,1.0616425,0.0006759795,0.0005680994,0.0012636201,0.00017344485,8.654842e-05,0.00010279295,0.0,0.0
1777227295569000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03984186,0.009236778,6.5641097e-09,-0.22677879,-0.09232025,-9.853193,0.11820175,0.00061784225,0.64401627,0.0015097284,0.0009773786,0.0005976224,7.257727e-05,0.00015101387,0.00027755764,0.0,0.0
