timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ
1777227562385000,1.0309839e-05,7.8692334e-05,3.5448345e-05
1777227562585000,-3.1323787e-05,0.00013806036,4.2402007e-05
1777227562785000,-5.3253607e-06,6.382467e-05,5.8249785e-05
1777227562985000,-6.7534766e-06,6.481746e-05,6.839572e-05
1777227563181000,1.685841e-05,2.6641255e-06,-2.0182673e-05
1777227563385000,5.4506036e-06,5.3647367e-05,-2.422585e-05
1777227563585000,7.1265225e-05,3.4187764e-05,-7.117154e-05
1777227563785000,8.111993e-05,-1.547546e-05,-5.4545064e-05
1777227563985000,-2.105728e-06,-1.1594125e-05,-2.9749433e-05
1777227564185000,-3.8434748e-05,-1.9944517e-05,4.7859558e-05
1777227564385000,-1.27726025e-05,-5.216125e-05,6.5108135e-05
1777227564585000,-3.869096e-05,-2.2970346e-05,4.550914e-05
1777227564785000,-2.0841142e-05,-4.208218e-05,-1.2023027e-05
1777227564985000,5.4684228e-05,-4.3424818e-05,-9.914076e-06
1777227565185000,4.407682e-06,-6.71241e-05,-4.384152e-05
1777227565385000,1.917158e-05,-2.3803243e-05,-5.067521e-05
1777227565585000,1.2704344e-05,5.913662e-07,1.3780644e-05
1777227565785000,-7.691684e-05,-3.8803282e-05,1.0058097e-05
1777227565985000,-9.574296e-06,-4.9856782e-05,6.21357e-05
1777227566185000,3.174789e-06,-4.4266257e-05,7.048008e-05
1777227566385000,1.6916272e-05,-1.4295626e-05,6.3920226e-05
1777227566585000,1.4389762e-05,1.1433753e-05,1.3534369e-05
1777227566785000,9.7637885e-06,4.8880793e-06,-1.4203998e-05
1777227566985000,7.0354117e-06,1.7991253e-05,-1.9830022e-05
1777227567185000,-2.6318801e-05,6.321192e-05,-2.4522813e-05
1777227567385000,-5.071473e-06,-1.1196385e-05,-5.7033354e-05
1777227567585000,5.7379028e-05,-9.772159e-06,-4.782093e-05
1777227567785000,5.057543e-05,9.4121815e-06,-1.7768225e-05
1777227567985000,7.1076242e-06,3.33043e-05,-3.9979795e-06
1777227568185000,-1.488249e-05,5.103977e-05,-3.2799686e-05
1777227568385000,-1.3279138e-05,2.9951094e-05,7.667575e-06
1777227568585000,-3.444681e-05,-8.370287e-06,2.2520162e-05
1777227568785000,-4.8968172e-06,1.7591561e-05,-1.4951559e-05
1777227568985000,-2.7999611e-05,-5.010995e-06,-3.1617164e-06
1777227569181000,-8.367037e-05,2.0279687e-05,2.8617776e-05
1777227569385000,-3.5960544e-05,-1.2669936e-05,4.765296e-05
1777227569585000,-8.991305e-05,-1.0653697e-05,2.3612836e-05
1777227569785000,-1.5761998e-05,1.7812294e-05,-2.2814575e-05
1777227569985000,4.1445033e-05,1.7634231e-05,4.0159608e-05
1777227570185000,-5.8228266e-05,5.9439108e-06,1.8831497e-05
1777227570385000,-7.4745503e-06,1.534024e-05,5.9995505e-06
1777227570585000,3.4053868e-05,-9.7621305e-06,-1.4408227e-05
1777227570785000,3.6291975e-05,-3.6655478e-05,-1.8455712e-05
1777227570985000,-1.4727388e-05,-4.861058e-05,5.4086864e-05
1777227571185000,-5.542994e-05,1.43912375e-05,2.5716941e-05
1777227571385000,-5.7756744e-05,-6.658226e-05,-5.510028e-05
1777227571585000,2.8637427e-05,1.1501668e-05,-6.0916933e-05
1777227571785000,3.054884e-05,1.0126768e-05,-5.0323382e-05
1777227571985000,4.0011575e-05,-4.713701e-06,-4.136945e-05
1777227572185000,-9.378235e-06,-2.8658907e-05,-4.635338e-05
1777227572385000,-0.00012689647,0.00015012095,-9.473188e-05
1777227572585000,-0.00030769664,0.0005294979,-0.00010871249
1777227572785000,-0.00040198382,0.0010328499,-0.000106948326
1777227572985000,-0.0005954526,0.0016379146,-0.00016143134
1777227573185000,-0.00078389264,0.0024256923,-0.00024103269
1777227573385000,-0.001208414,0.0031929235,-0.00033370985
1777227573585000,-0.0015672607,0.004115158,-0.00043680408
1777227573785000,-0.0018935703,0.0048769577,-0.0005183338
1777227573985000,-0.001866733,0.0047589126,-0.0005352254
1777227574185000,-0.0016562277,0.003970536,-0.00052997074
1777227574381000,-0.0015881045,0.0038557805,-0.0005205496
1777227574585000,-0.0015881045,0.0038557805,-0.0005205496
1777227574785000,-0.0015881045,0.0038557805,-0.0005205496
1777227574985000,-0.0015881045,0.0038557805,-0.0005205496
1777227575185000,-0.0015881045,0.0038557805,-0.0005205496
1777227575385000,-0.0015881045,0.0038557805,-0.0005205496
1777227575581000,-0.0015881045,0.0038557805,-0.0005205496
1777227575785000,-0.0015881045,0.0038557805,-0.0005205496
1777227575985000,-0.0015881045,0.0038557805,-0.0005205496
1777227576185000,-0.0015881045,0.0038557805,-0.0005205496
1777227576385000,-0.0015881045,0.0038557805,-0.0005205496
1777227576585000,0.0,0.0,0.0
1777227576785000,0.0,0.0,0.0
1777227576985000,0.0,0.0,0.0
1777227577185000,0.0,0.0,0.0
1777227577385000,0.0,0.0,0.0
