timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
1777226228977000,1777226228953000,6620172,487.8164,95601.33,15.0,1.1556122,0,1
1777226229029000,1777226229005000,6620172,487.89154,95600.42,15.0,1.1556013,0,1
1777226229081000,1777226229057000,6620172,487.93848,95599.88,15.0,1.1555947,0,1
1777226229133000,1777226229109000,6620172,487.9056,95600.28,15.0,1.1555995,0,1
1777226229185000,1777226229161000,6620172,487.88684,95600.51,15.0,1.1556022,0,1
1777226229237000,1777226229213000,6620172,487.9056,95600.24,15.0,1.1555991,0,1
1777226229289000,1777226229265000,6620172,487.85867,95600.836,15.0,1.1556062,0,1
1777226229341000,1777226229317000,6620172,487.8305,95601.125,15.0,1.1556097,0,1
1777226229393000,1777226229369000,6620172,487.88684,95600.46,15.0,1.1556017,0,1
1777226229445000,1777226229421000,6620172,487.86337,95600.74,15.0,1.1556051,0,1
1777226229497000,1777226229473000,6620172,487.88684,95600.484,15.0,1.155602,0,1
1777226229549000,1777226229525000,6620172,487.8211,95601.234,15.0,1.155611,0,1
