timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1777318668619000,-2.9709028e-05,-9.169391e-05,-0.00073400483,0.0
1777318668819000,1.0508282e-05,-5.802212e-05,-0.0006778077,0.0
1777318669019000,1.5132449e-05,-9.047102e-05,-0.0006090683,0.0
1777318669219000,-3.0180758e-05,-0.000116351686,-0.00055615813,0.0
1777318669419000,0.00013033941,-0.00015415707,-0.0005162382,0.0
1777318669619000,6.8249e-05,-0.00022877209,-0.0004356458,0.0
1777318669815000,-4.070923e-06,-0.00015101649,-0.00039251163,0.0
1777318670019000,-2.7032402e-05,-5.25528e-05,-0.00029477995,0.0
1777318670219000,-9.487236e-05,-7.159983e-05,-0.00027299416,0.0
1777318670419000,-6.0668313e-05,-0.00012062137,-0.00022240907,0.0
1777318670619000,1.1184924e-05,-0.00014812838,-0.00027147646,0.0
1777318670819000,6.638494e-05,-0.00012070732,-0.00024223475,0.0
1777318671015000,1.8667233e-05,-3.118869e-05,-0.00027992192,0.0
1777318671219000,6.709694e-05,-7.075988e-05,-0.00025268298,0.0
1777318671419000,3.0963143e-05,-0.00011383961,-0.00018122468,0.0
1777318671619000,-0.00010370185,-8.8554094e-05,-0.00011062906,0.0
1777318671819000,4.565389e-05,2.3765606e-05,-0.00011773245,0.0
1777318672019000,5.8355294e-05,1.9009163e-05,-0.00013001107,0.0
1777318672219000,-7.853132e-05,-0.000114718445,-0.00014474399,0.0
1777318672419000,-2.7820552e-05,-4.912246e-05,-0.00013818691,0.0
1777318672619000,-9.5699215e-06,-3.5699486e-05,-0.00011191137,0.0
1777318672819000,2.1920103e-05,5.2481206e-05,-9.904291e-05,0.0
1777318673015000,-3.0700474e-05,1.690387e-05,-4.2984553e-05,0.0
1777318673219000,-2.07492e-05,-0.000111636524,-1.8035735e-05,0.0
1777318673419000,-6.4302134e-05,-0.00010799344,-7.060944e-05,0.0
1777318673615000,0.0012609451,0.0033821699,-8.859014e-05,0.0
1777318673819000,0.0016964363,0.0040974547,-0.00031661335,0.0
1777318674019000,-0.0016080441,0.0018718214,-0.0005845426,0.0
1777318674219000,-0.001839033,0.0012124219,-0.0006148783,0.0
1777318674419000,0.00024780424,-0.0011767248,-0.00043951775,0.0
1777318674619000,0.00017022488,-0.0014139297,-0.00011159733,0.0
1777318674819000,-0.00026317762,-0.0011321212,0.00021175267,0.0
1777318675019000,-0.00035763803,-0.0010881873,0.00040621625,0.0
1777318675219000,-0.00030147127,-0.0010837899,0.0005066777,0.0
1777318675415000,-0.00012525645,-0.0021045082,0.0004455363,0.0
